Date,Open,High,Low,Close,Adj Close,Volume
2014-04-28,171.389999,173.259995,169.490005,172.320007,147.763153,3697700
2014-05-05,171.490005,173.199997,170.440002,172.279999,147.728836,4867000
2014-05-12,172.960007,174.490005,170.869995,172.339996,147.780289,7001300
2014-05-19,171.979996,174.539993,171.410004,174.470001,149.606781,4060500
2014-05-26,175.089996,176.690002,175.000000,176.550003,151.390335,3296600
2014-06-02,176.830002,179.089996,175.940002,179.050003,153.534088,5298400
2014-06-09,179.039993,179.690002,176.979996,177.919998,152.565109,3602400
2014-06-16,177.690002,180.570007,177.500000,180.449997,154.734558,5770200
2014-06-23,179.699997,180.139999,177.979996,179.479996,153.902786,3424500
2014-06-30,179.429993,181.779999,179.279999,181.729996,156.533981,3299600
2014-07-07,181.380005,181.500000,178.839996,180.270004,155.276337,3966500
2014-07-14,181.199997,181.759995,179.190002,181.300003,156.163574,3914900
2014-07-21,180.710007,182.500000,180.130005,181.279999,156.146332,4297900
2014-07-28,181.350006,181.889999,175.649994,176.529999,152.054916,8081700
2014-08-04,176.809998,178.110001,174.699997,177.160004,152.597580,7386100
2014-08-11,177.869995,180.300003,176.899994,179.429993,154.552795,5023000
2014-08-18,180.460007,183.169998,180.339996,182.610001,157.291962,4543000
2014-08-25,183.539993,184.169998,182.850006,183.990005,158.480545,3514200
2014-09-01,184.300003,184.820007,182.880005,184.440002,158.868240,2220400
2014-09-08,184.240005,184.460007,182.080002,182.580002,157.266083,3250700
2014-09-15,182.639999,185.839996,181.889999,184.860001,159.229980,4265800
2014-09-22,183.699997,183.740005,179.990005,181.500000,156.335815,5077300
2014-09-29,179.929993,181.809998,176.399994,180.199997,155.955109,7111900
2014-10-06,180.940002,181.179993,174.660004,174.699997,151.195129,8033600
2014-10-13,174.630005,175.250000,166.850006,172.830002,149.576675,16712800
2014-10-20,172.529999,180.169998,172.449997,180.080002,155.851257,9602800
2014-10-27,179.509995,185.050003,178.869995,184.929993,160.048676,7941700
2014-11-03,185.199997,186.679993,183.449997,186.500000,161.407455,8890900
2014-11-10,186.479996,187.839996,186.270004,187.330002,162.125793,8279000
2014-11-17,186.929993,190.479996,186.759995,189.570007,164.064392,6171000
2014-11-24,190.020004,190.630005,189.660004,190.029999,164.462509,4357200
2014-12-01,189.289993,191.190002,188.360001,190.800003,165.128937,9559400
2014-12-08,190.350006,190.830002,184.169998,184.210007,159.425583,9627700
2014-12-15,185.259995,190.130005,181.440002,189.419998,163.934601,17848500
2014-12-22,189.570007,191.520004,189.339996,191.149994,165.431793,6535600
2014-12-29,190.970001,191.630005,187.259995,188.399994,163.051804,7334100
2015-01-05,187.259995,189.339996,182.360001,187.229996,162.039230,11551400
2015-01-12,187.460007,188.410004,182.089996,184.800003,159.936203,12635800
2015-01-19,185.619995,189.149994,183.580002,188.039993,162.740265,12408800
2015-01-26,187.789993,188.509995,182.210007,182.990005,158.369690,13168600
2015-02-02,183.500000,190.050003,181.470001,188.520004,163.155685,9182500
2015-02-09,187.809998,192.440002,187.220001,192.389999,166.504990,8913300
2015-02-16,192.070007,193.820007,191.449997,193.779999,167.708008,5955000
2015-02-23,193.490005,194.649994,193.029999,193.199997,167.206039,6686300
2015-03-02,193.309998,194.470001,189.940002,190.309998,164.704880,6853600
2015-03-09,190.520004,191.470001,187.470001,188.800003,163.398026,9819100
2015-03-16,189.589996,194.389999,189.490005,193.850006,167.768555,7525100
2015-03-23,192.850006,193.490005,187.149994,188.529999,163.164337,7254700
